category,subcategory,icon,notes
Food,Groceries,🛒,"Supermarkets, vegetables, daily essentials"
Food,Restaurants,🍽️,"Dining out, food delivery apps"
Food,Coffee & Snacks,☕,"Cafes, bakeries, quick bites"
Food,Alcohol,🍺,"Bars, liquor stores"
Transport,Fuel,⛽,"Petrol, diesel, CNG"
Transport,Public Transport,🚌,"Metro, bus, auto, train"
Transport,Ride-sharing,🚕,"Uber, Ola, Rapido"
Transport,Vehicle Maintenance,🔧,"Service, repairs, car wash"
Shopping,Clothing,👕,"Clothes, shoes, accessories"
Shopping,Electronics,📱,"Gadgets, phones, laptops"
Shopping,Home & Living,🏠,"Furniture, decor, appliances"
Shopping,Books & Stationery,📚,"Books, pens, notebooks"
Bills & Utilities,Electricity,💡,"Power bills, generator"
Bills & Utilities,Water,💧,"Water bills"
Bills & Utilities,Internet,🌐,"Broadband, WiFi"
Bills & Utilities,Mobile,📱,"Phone recharge, postpaid"
Bills & Utilities,Gas,🔥,"LPG cylinder, gas connection"
Bills & Utilities,Rent,🏘️,"House rent, maintenance"
Entertainment,Movies & Shows,🎬,"Cinema, Netflix, Prime"
Entertainment,Gaming,🎮,"Games, in-app purchases"
Entertainment,Events,🎉,"Concerts, shows, activities"
Entertainment,Sports,⚽,"Stadium tickets, sports events"
Health,Medical,💊,"Doctor visits, medicines"
Health,Fitness,💪,"Gym membership, sports"
Health,Insurance,🏥,"Health insurance premiums"
Personal Care,Grooming,✂️,"Salon, barber, spa"
Personal Care,Beauty,💄,"Cosmetics, skincare"
Personal Care,Wellness,🧘,"Yoga, meditation apps"
Education,Courses,🎓,"Online courses, certifications"
Education,Books,📖,"Educational books, study material"
Education,Tuition,✏️,"Coaching classes, tutors"
Subscriptions,Streaming,📺,"Netflix, Prime, Spotify"
Subscriptions,Software,💻,"SaaS tools, cloud storage"
Subscriptions,Magazines,📰,"News, magazines, papers"
Investments,Mutual Funds,📊,"SIP, lumpsum investments"
Investments,Stocks,📈,"Stock trading, equity"
Investments,Fixed Deposits,🏦,"FD, recurring deposits"
Gifts,Personal,🎁,"Gifts for friends, family"
Gifts,Occasions,🎂,"Birthday, anniversary gifts"
Travel,Flights,✈️,"Air tickets, booking charges"
Travel,Hotels,🏨,"Hotel stays, Airbnb"
Travel,Local,🗺️,"Local transport while traveling"
Taxes,Income Tax,💼,"TDS, advance tax, filing fees"
Taxes,GST,📋,"GST payments, compliance"
Other,Miscellaneous,📦,"Uncategorized, one-time expenses"
Other,Cash Withdrawal,💵,"ATM withdrawals"
